ds,yhat,yhat_lower,yhat_upper
2021-01-01,5746.540227629695,4990.547197443869,6470.190369541476
2021-02-01,5519.769757624435,4810.541271973716,6288.76248355939
2021-03-01,9381.440847857815,8611.375715231172,10091.663061952646
2021-04-01,7538.984137862044,6833.251863170101,8306.004104924954
2021-05-01,7552.326418480926,6860.459313807358,8264.383272536108
2021-06-01,7115.022694189181,6391.170954928329,7841.214391064208
2021-07-01,6427.321286680744,5722.163518261359,7149.22083924698
2021-08-01,7256.0554089542475,6502.031164050644,7952.8917539527065
2021-09-01,8921.705438211602,8223.84908468407,9606.510600562278
2021-10-01,7182.213875063342,6459.081838372639,7919.488909060783
2021-11-01,7534.104843323508,6800.002614264777,8282.672296215018
2021-12-01,8310.31335627943,7601.593375964093,9081.972047267143
2022-01-01,8576.874750571902,7808.907387913182,9289.59127001152
2022-02-01,8370.62590771413,7658.854710907564,9137.248786390488
2022-03-01,12063.654760493358,11367.600387097104,12787.25758205089
2022-04-01,10407.941800460208,9691.272295075732,11183.845672468038
2022-05-01,10388.292170860852,9659.941487285416,11120.868120116354
2022-06-01,10115.2235032459,9390.752885095926,10833.668663382643
2022-07-01,9562.26494689624,8852.845648407369,10338.320219205441
2022-08-01,9841.019130220433,9104.224273567857,10540.320923823183
2022-09-01,11790.824209603763,11068.519589298525,12510.732977891
2022-10-01,9957.471695144326,9205.288072631287,10686.017308829541
2022-11-01,10217.216337442074,9507.511345166076,10921.099721619792
2022-12-01,11610.012160467923,10878.17366153045,12293.06399505684
2023-01-01,11400.677810176669,10668.03066249511,12081.270896275653
2023-02-01,11218.193819538594,10527.206305124782,11948.78224607114
2023-03-01,14745.508071500257,14005.415193635843,15469.298257228184
2023-04-01,13280.727361420735,12644.08228218521,14013.13591156255
2023-05-01,13228.551397892445,12496.807808833244,13981.51472116604
2023-06-01,13119.739120931119,12400.307733785552,13869.016692288153
2023-07-01,12692.42007480679,11942.87527984575,13381.581534944164
2023-08-01,12423.15096818403,11719.812195910305,13129.527003904775
2023-09-01,14663.138475186208,13907.854277717424,15354.082876883393
2023-10-01,12737.911055445089,11936.608052740996,13461.98186476778
2023-11-01,12913.494601727532,12181.34652281251,13594.039558267566
2023-12-01,14934.393021941167,14168.460579821958,15661.0037764745
2024-01-01,14260.057901393373,13515.285772023388,15003.85007419472
2024-02-01,14123.53939601555,13353.635610451038,14843.098742159667
2024-03-01,18248.802675847885,17541.23912709986,18962.304132276142
2024-04-01,16242.707449248543,15520.268476149811,16963.61003475526
2024-05-01,16307.760412574813,15554.031337013768,17048.919647060244
2024-06-01,15724.862919846799,14919.626886492026,16398.50741791538
2024-07-01,14911.181236563454,14192.56085575435,15630.3817461787
2024-08-01,16309.43308865461,15603.326633751596,17018.535055512228
2024-09-01,17715.181760232255,16962.925215141386,18451.705920893346
2024-10-01,16088.85095996326,15373.238044474123,16804.503364567357
2024-11-01,16558.88219538486,15882.28865379039,17331.654151231425
2024-12-01,16730.74281424799,15980.484113067763,17444.890844016405
2025-01-01,17483.913600966916,16752.069048509366,18203.965863651054
2025-02-01,17276.1810666162,16535.28106707198,18038.38082303248
2025-03-01,21155.047711634586,20391.345899871598,21884.9689132666
2025-04-01,19331.62893758077,18643.9916265352,20042.726513319445
2025-05-01,19363.395027176477,18626.62644242944,20088.74932475919
2025-06-01,18945.12923903218,18189.206406952762,19641.743085120426
2025-07-01,18275.851640701247,17578.50035471134,19014.627200130617
2025-08-01,19123.623698799343,18407.65303614216,19850.42774714402
2025-09-01,20808.311663876833,20074.623829272416,21547.050724751785
2025-10-01,19087.243909394736,18352.194414434838,19777.367933516285
2025-11-01,19458.172812730827,18681.802854018748,20194.341792152944
2025-12-01,20252.80513382179,19553.880918007126,20989.15238231881
2026-01-01,20538.40446255259,19797.0684483303,21294.84506110033
2026-02-01,20351.1935541321,19625.950769936346,21048.535214225707
2026-03-01,24061.417960418537,23305.014564089954,24778.984158377203
2026-04-01,22424.742934623046,21708.362782109896,23123.854667328917
2026-05-01,22423.51711259003,21654.188342100068,23131.094193373865
2026-06-01,22169.486379459104,21441.39591354413,22896.664372327486
2026-07-01,21634.951629988525,20898.747710953285,22355.57695999577
2026-08-01,21932.743747088716,21227.720244609864,22681.174771498412
2026-09-01,23901.586759748385,23184.823849058215,24582.443383575577
2026-10-01,22086.658051686158,21395.075099278107,22804.265507235945
2026-11-01,22365.440627157575,21638.2992636684,23105.90179648105
2026-12-01,23776.660256482028,23058.000989808497,24514.183753145957
