country,state,city,year,month,ev_registrations,bev_registrations,phev_registrations,charging_stations,charging_points,ev_per_station,station_density,coverage_gap,demand_score,priority_score,monthly_growth_pct,yoy_growth_pct,ev_market_share_pct,bev_share_pct,population,population_density,infra_status,city_tier
Austria,Salzburg,Salzburg,2021,1,9.0,6,3,107.0,399,27.23,0.69023,5.23,12.881,12.549,4.05,137.62,2.0,65.0,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2021,2,8.0,5,3,107.0,399,27.23,0.69023,5.23,11.261,10.929,-11.11,123.92,2.0,65.0,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2021,3,11.0,6,5,107.0,399,27.23,0.69023,5.23,26.261,25.929,37.5,157.67,2.0,65.0,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2021,4,10.0,6,4,107.0,399,27.23,0.69023,5.23,11.261,10.929,-9.09,124.39,2.0,65.0,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2021,5,10.0,6,4,107.0,399,27.23,0.69023,5.23,11.261,10.929,0.0,138.91,2.0,65.0,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2021,6,10.0,6,4,107.0,399,27.23,0.69023,5.23,11.261,10.929,0.0,183.54,2.0,65.0,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2021,7,10.0,6,4,107.0,399,27.23,0.69023,5.23,11.261,10.929,0.0,135.61,2.0,65.0,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2021,8,10.0,6,4,107.0,399,27.23,0.69023,5.23,11.261,10.929,0.0,140.85,2.0,65.0,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2021,9,10.0,6,4,107.0,399,27.23,0.69023,5.23,11.261,10.929,0.0,130.43,2.0,65.0,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2021,10,9.0,5,4,107.0,399,27.23,0.69023,5.23,11.261,10.929,-10.0,176.94,2.0,65.0,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2021,11,10.0,6,4,107.0,399,27.23,0.69023,5.23,15.705,15.373,11.11,164.22,2.0,65.0,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2021,12,10.0,6,4,107.0,399,27.23,0.69023,5.23,11.261,10.929,0.0,158.34,2.0,65.0,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2022,1,12.0,8,4,190.0,667,26.26,1.22564,4.26,18.873,18.541,20.0,33.33,3.3,67.7,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2022,2,16.0,10,6,190.0,667,26.26,1.22564,4.26,24.205,23.873,33.33,100.0,3.3,67.7,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2022,3,20.0,13,7,190.0,667,26.26,1.22564,4.26,20.873,20.541,25.0,81.82,3.3,67.7,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2022,4,16.0,11,5,190.0,667,26.26,1.22564,4.26,10.873,10.541,-20.0,60.0,3.3,67.7,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2022,5,16.0,10,6,190.0,667,26.26,1.22564,4.26,10.873,10.541,0.0,60.0,3.3,67.7,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2022,6,15.0,9,6,190.0,667,26.26,1.22564,4.26,10.873,10.541,-6.25,50.0,3.3,67.7,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2022,7,17.0,12,5,190.0,667,26.26,1.22564,4.26,16.205,15.873,13.33,70.0,3.3,67.7,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2022,8,17.0,11,6,190.0,667,26.26,1.22564,4.26,10.873,10.541,0.0,70.0,3.3,67.7,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2022,9,18.0,11,7,190.0,667,26.26,1.22564,4.26,13.225,12.893,5.88,80.0,3.3,67.7,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2022,10,20.0,13,7,190.0,667,26.26,1.22564,4.26,15.317,14.985,11.11,122.22,3.3,67.7,155021.0,1847,Needs Attention,Tier 2
